term	score	AffectDimension
immaturity	0.273	anger
uncaring	0.273	anger
bugaboo	0.273	anger
bogus	0.273	anger
shock	0.269	anger
feisty	0.269	anger
rapping	0.266	anger
nopoint	0.266	anger
feminism	0.266	anger
pry	0.266	anger
humbug	0.266	anger
inoperative	0.266	anger
defendant	0.266	anger
latent	0.266	anger
notamorningperson	0.266	anger
quandary	0.266	anger
inconvenient	0.266	anger
bear	0.266	anger
interrupts	0.265	anger
fluctuation	0.265	anger
exaggerate	0.263	anger
lose	0.261	anger
stone	0.258	anger
soldier	0.258	anger
furnace	0.258	anger
shoplifting	0.258	anger
tease	0.258	anger
patter	0.258	anger
incompetent	0.257	anger
indoctrination	0.255	anger
attentionseeker	0.250	anger
unfollow	0.250	anger
nonsense	0.250	anger
complicate	0.250	anger
tripping	0.250	anger
untrue	0.250	anger
notoriety	0.250	anger
falsehood	0.250	anger
mastery	0.250	anger
socialist	0.250	anger
skid	0.250	anger
rocket	0.250	anger
noisy	0.250	anger
lawyer	0.250	anger
pouting	0.250	anger
cane	0.250	anger
fenced	0.242	anger
obstacle	0.242	anger
dontunderstand	0.242	anger
detract	0.242	anger
halter	0.242	anger
vampire	0.242	anger
capslock	0.242	anger
witch	0.242	anger
ringer	0.242	anger
frowning	0.239	anger
saber	0.238	anger
hunger	0.235	anger
tariff	0.234	anger
lava	0.234	anger
dabbling	0.234	anger
shell	0.234	anger
imtryingtosleep	0.234	anger
rascal	0.234	anger
recession	0.234	anger
failing	0.234	anger
politics	0.234	anger
wokemeup	0.234	anger
undesirable	0.231	anger
versus	0.227	anger
copycat	0.227	anger
darkness	0.227	anger
resign	0.227	anger
soaked	0.226	anger
unfulfilled	0.225	anger
abandoned	0.222	anger
unattainable	0.221	anger
owing	0.221	anger
bankruptcy	0.221	anger
confusion	0.219	anger
warden	0.219	anger
somethingigetalot	0.219	anger
tool	0.219	anger
compress	0.219	anger
misconception	0.219	anger
whiny	0.219	anger
unhelpful	0.219	anger
mosquito	0.219	anger
twitching	0.219	anger
nosey	0.213	anger
adder	0.212	anger
overpriced	0.212	anger
shortage	0.212	anger
melodrama	0.212	anger
harry	0.212	anger
possession	0.206	anger
overplayed	0.206	anger
desert	0.206	anger
unlucky	0.203	anger
unpaid	0.203	anger
backbone	0.203	anger
powerless	0.203	anger
sentence	0.203	anger
uninvited	0.203	anger
rook	0.203	anger
pout	0.203	anger
arraignment	0.203	anger
inefficient	0.203	anger
court	0.199	anger
endless	0.198	anger
misstatement	0.197	anger
delay	0.197	anger
distracted	0.197	anger
adverts	0.197	anger
misunderstanding	0.195	anger
inadmissible	0.191	anger
excite	0.191	anger
lightning	0.189	anger
mournful	0.188	anger
preclude	0.188	anger
incase	0.188	anger
insecure	0.188	anger
rating	0.182	anger
claimant	0.182	anger
mistress	0.182	anger
insist	0.182	anger
pare	0.182	anger
distracting	0.182	anger
mutter	0.182	anger
opium	0.180	anger
willful	0.176	anger
deserve	0.176	anger
insists	0.175	anger
treat	0.175	anger
liberate	0.172	anger
peice	0.172	anger
excitation	0.172	anger
misplace	0.172	anger
hormonal	0.172	anger
mighty	0.172	anger
thanksalot	0.172	anger
indecisive	0.172	anger
fee	0.172	anger
gibberish	0.172	anger
fleece	0.172	anger
yelp	0.168	anger
hamstring	0.167	anger
mule	0.167	anger
insufficiency	0.167	anger
insignificant	0.167	anger
unequal	0.167	anger
bargaining	0.167	anger
attentionseekers	0.163	anger
forearm	0.156	anger
indifference	0.156	anger
coop	0.156	anger
rheumatism	0.156	anger
attorney	0.152	anger
uncertain	0.152	anger
justthebeginning	0.152	anger
disinformation	0.152	anger
pretending	0.152	anger
involvement	0.152	anger
underpaid	0.152	anger
bee	0.152	anger
campaigning	0.151	anger
hopelessness	0.149	anger
feeling	0.147	anger
legalized	0.145	anger
caution	0.145	anger
sterling	0.141	anger
obliging	0.141	anger
subsidy	0.141	anger
morals	0.141	anger
wimpy	0.140	anger
bummer	0.139	anger
geez	0.136	anger
repay	0.136	anger
blemish	0.136	anger
misspell	0.136	anger
surcharge	0.136	anger
saloon	0.136	anger
birch	0.135	anger
noob	0.133	anger
honk	0.133	anger
orchestra	0.132	anger
wireless	0.125	anger
standstill	0.125	anger
competitive	0.125	anger
mosque	0.122	anger
inattention	0.121	anger
reversal	0.121	anger
lace	0.118	anger
elbow	0.117	anger
instinctive	0.112	anger
chant	0.111	anger
lonely	0.109	anger
gnome	0.109	anger
tolerate	0.106	anger
management	0.102	anger
advocacy	0.100	anger
moral	0.094	anger
roadworks	0.091	anger
honest	0.087	anger
gent	0.076	anger
forgetful	0.076	anger
liquor	0.075	anger
money	0.074	anger
hood	0.071	anger
curriculum	0.063	anger
words	0.062	anger
elf	0.061	anger
smell	0.061	anger
opera	0.061	anger
playful	0.061	anger
counsellor	0.059	anger
trumpet	0.059	anger
nurture	0.059	anger
asleeep	0.059	anger
birthplace	0.051	anger
ribbon	0.047	anger
youth	0.045	anger
vote	0.045	anger
cash	0.039	anger
wannasleep	0.031	anger
waffle	0.030	anger
dame	0.030	anger
buffet	0.029	anger
celebrity	0.026	anger
sisterhood	0.015	anger
autocorrect	0.015	anger
musical	0.011	anger
tree	0.000	anger
